Country,Continent,ISO_Code,Level,GDLCODE,Region,"Subnational HDI","Life expectancy"
"United Arab Emirates","Asia/Pacific","ARE","National","AREt","Total",0.911,78.71
"United Kingdom","Europe","GBR","National","GBRt","Total",0.929,80.74
"United States","America","USA","National","USAt","Total",0.921,77.20
"Uruguay","America","URY","National","URYt","Total",0.809,75.44
"Uzbekistan","Asia/Pacific","UZB","National","UZBt","Total",0.727,70.86
"Vanuatu","Asia/Pacific","VUT","National","VUTt","Total",0.607,70.45
"Venezuela","America","VEN","National","VENt","Total",0.691,70.55
"Vietnam","Asia/Pacific","VNM","National","VNMt","Total",0.703,73.62
"Yemen","Asia/Pacific","YEM","National","YEMt","Total",0.455,63.75
"Zambia","Africa","ZMB","National","ZMBt","Total",0.565,61.22
"Zimbabwe","Africa","ZWE","National","ZWEt","Total",0.593,59.25
